Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/"")",Safari 18.6,,,05-10-2025 15:20:43,05-10-2025 15:20:44,1.004s,PASSED
maximizeWindow(),Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.041s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/login-credentials""), 10)",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.022s,PASSED
"setText(findTestObject(""Saucedemo-Shop/username_field""), ""standard_user"")",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.095s,PASSED
"setText(findTestObject(""Saucedemo-Shop/password_field""), ""secret_sauce"")",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.082s,PASSED
"click(findTestObject(""Saucedemo-Shop/login_btn""))",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.102s,PASSED
"verifyTextPresent(productName, false)",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.026s,PASSED
"productName = ""sauce-labs-backpack""",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.000s,PASSED
"click(findTestObject(""Saucedemo-Shop/Button_AddToCart_ByProduct"", [""productName"":productName]))",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.031s,PASSED
"click(findTestObject(""Saucedemo-Shop/shopping_cart""))",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.041s,PASSED
"click(findTestObject(""Saucedemo-Shop/checkout_btn""))",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.050s,PASSED
"verifyTextPresent(""Checkout: Your Information"", false)",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:44,0.012s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-fullname""), ""Felia"")",Safari 18.6,,,05-10-2025 15:20:44,05-10-2025 15:20:45,0.055s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-lastname""), ""Anjani"")",Safari 18.6,,,05-10-2025 15:20:45,05-10-2025 15:20:45,0.065s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-zipcode""), ""17812"")",Safari 18.6,,,05-10-2025 15:20:45,05-10-2025 15:20:45,0.059s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/continue-btn""), 10)",Safari 18.6,,,05-10-2025 15:20:45,05-10-2025 15:20:45,0.009s,PASSED
"click(findTestObject(""Saucedemo-Shop/continue-btn""))",Safari 18.6,,,05-10-2025 15:20:45,05-10-2025 15:20:45,0.065s,PASSED
"verifyTextPresent(""Checkout: Overview"", false)",Safari 18.6,,,05-10-2025 15:20:45,05-10-2025 15:20:45,0.009s,PASSED
"click(findTestObject(""Saucedemo-Shop/finish_btn""))",Safari 18.6,,,05-10-2025 15:20:45,05-10-2025 15:20:45,0.050s,PASSED
closeBrowser(),Safari 18.6,,,05-10-2025 15:20:45,05-10-2025 15:20:55,10.230s,PASSED
,,,,,,,
Test Cases/Task-Saucelab-Checkout,Safari 18.6,,,05-10-2025 15:20:55,05-10-2025 15:21:07,12.427s,PASSED
"DATA BINDING - {""id_product"":""6"",""productName"":""Test.allTheThings() T-Shirt (Red)""}",,,,,,,
Start listener action : beforeTestCase,Safari 18.6,,,05-10-2025 15:20:55,05-10-2025 15:20:55,0.001s,PASSED
"openBrowser("""")",Safari 18.6,,,05-10-2025 15:20:55,05-10-2025 15:20:56,0.777s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Safari 18.6,,,05-10-2025 15:20:56,05-10-2025 15:20:56,0.525s,PASSED
maximizeWindow(),Safari 18.6,,,05-10-2025 15:20:56,05-10-2025 15:20:56,0.049s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/login-credentials""), 10)",Safari 18.6,,,05-10-2025 15:20:56,05-10-2025 15:20:56,0.035s,PASSED
"setText(findTestObject(""Saucedemo-Shop/username_field""), ""standard_user"")",Safari 18.6,,,05-10-2025 15:20:56,05-10-2025 15:20:57,0.105s,PASSED
"setText(findTestObject(""Saucedemo-Shop/password_field""), ""secret_sauce"")",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.102s,PASSED
"click(findTestObject(""Saucedemo-Shop/login_btn""))",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.093s,PASSED
"verifyTextPresent(productName, false)",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.036s,PASSED
"productName = ""sauce-labs-backpack""",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.000s,PASSED
"click(findTestObject(""Saucedemo-Shop/Button_AddToCart_ByProduct"", [""productName"":productName]))",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.031s,PASSED
"click(findTestObject(""Saucedemo-Shop/shopping_cart""))",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.048s,PASSED
"click(findTestObject(""Saucedemo-Shop/checkout_btn""))",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.038s,PASSED
"verifyTextPresent(""Checkout: Your Information"", false)",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.010s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-fullname""), ""Felia"")",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.053s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-lastname""), ""Anjani"")",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.074s,PASSED
"setText(findTestObject(""Saucedemo-Shop/input-zipcode""), ""17812"")",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.061s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo-Shop/continue-btn""), 10)",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.007s,PASSED
"click(findTestObject(""Saucedemo-Shop/continue-btn""))",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.082s,PASSED
"verifyTextPresent(""Checkout: Overview"", false)",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.011s,PASSED
"click(findTestObject(""Saucedemo-Shop/finish_btn""))",Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:20:57,0.040s,PASSED
closeBrowser(),Safari 18.6,,,05-10-2025 15:20:57,05-10-2025 15:21:07,10.235s,PASSED
